method,sequence,aggregation,frames,mse,ssim,lpips
EvDiff,zurich_city_00_a,sequence,938,0.0362248447,0.3795054243,0.4318697793
EvDiff,zurich_city_02_a,sequence,234,0.0344254252,0.3469853814,0.4351602277
EvDiff,zurich_city_04_b,sequence,268,0.0369951942,0.3577814172,0.3218606118
EvDiff,ALL_WEIGHTED,frame_weighted,1440,0.0360758097,0.3701778382,0.4119305488
EvDiff,ALL_SEQUENCE_MEAN,sequence_mean,1440,0.0358818214,0.3614240743,0.3962968729
E2VID,zurich_city_00_a,sequence,938,0.0928813370,0.3619569395,0.5343457483
E2VID,zurich_city_02_a,sequence,234,0.0510999834,0.2856978807,0.6012013325
E2VID,zurich_city_04_b,sequence,268,0.0780863475,0.3795920372,0.3880017082
E2VID,ALL_WEIGHTED,frame_weighted,1440,0.0833383551,0.3528469301,0.5179735288
E2VID,ALL_SEQUENCE_MEAN,sequence_mean,1440,0.0740225560,0.3424156192,0.5078495963
HyperE2VID,zurich_city_00_a,sequence,938,0.0458353007,0.3548170296,0.4964249484
HyperE2VID,zurich_city_02_a,sequence,234,0.0519358844,0.2869005355,0.5619589284
HyperE2VID,zurich_city_04_b,sequence,268,0.0492767331,0.3423786455,0.3955658067
HyperE2VID,ALL_WEIGHTED,frame_weighted,1440,0.0474671344,0.3414656778,0.4883032132
HyperE2VID,ALL_SEQUENCE_MEAN,sequence_mean,1440,0.0490159727,0.3280320702,0.4846498945
